gene1,strand1,chrom1,gene2,strand2,chrom2,RNA_split_read_count,variant_count,DNA_split_reads_at_variants,variant_names,transcript_length,score
LINC00536,antisense,8,RNU1-106P,sense,8,10,2,150|25,12938|10321,163379,42.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,2,41|25,12937|10321,163745,42.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,2,41|13,12937|10323,163602,41.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,2,127|13,12939|10323,163260,41.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,2,150|13,12938|10323,163236,41.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,2,136|13,12936|10323,163794,41.00
LINC00536,antisense,8,RNU1-106P,antisense,8,10,4,301|31|127|157,12693|12694|12939|10322,722801,23.00
LINC00536,antisense,8,RNU1-106P,antisense,8,10,4,301|31|150|157,12693|12694|12938|10322,722777,23.00
LINC00536,antisense,8,RNU1-106P,antisense,8,10,4,31|301|127|157,12694|12693|12939|10322,722801,23.00
LINC00536,antisense,8,RNU1-106P,antisense,8,10,4,31|301|150|157,12694|12693|12938|10322,722777,23.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,4,301|31|127|157,12693|12694|12939|10322,722638,23.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,4,301|31|150|157,12693|12694|12938|10322,722614,23.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,4,31|301|127|157,12694|12693|12939|10322,722638,23.00
LINC00536,antisense,8,RNU1-106P,sense,8,10,4,31|301|150|157,12694|12693|12938|10322,722614,23.00
AL590452.1,antisense,1,RP11-495P10.2,antisense,1,19,0,,,2940568,0.00
AL590452.1,antisense,1,RP11-495P10.2,sense,1,19,0,,,2843762,0.00
AL590452.1,sense,1,RP11-495P10.2,antisense,1,19,0,,,2942624,0.00
AL590452.1,sense,1,RP11-495P10.2,sense,1,19,0,,,2845818,0.00
RAD51B,sense,14,SEMA6D,antisense,15,6,1,10,27095,901859,71.00
RAD51B,sense,14,SEMA6D,sense,15,6,2,15|12,27094|21921,967587,51.00
RAD51B,antisense,14,SEMA6D,sense,15,6,2,11|15,21372|27094,605440,41.00
RAD51B,antisense,14,SEMA6D,sense,15,6,3,11|15|12,21372|27094|21921,517025,21.00
RAD51B,sense,14,SEMA6D,sense,15,6,1,15,27094,1056002,21.00
LINC00536,sense,8,TMEM75,sense,8,32,1,245,10324,425559,120.00
LINC00536,sense,8,TMEM75,sense,8,32,1,157,10322,425301,115.00
LINC00536,sense,8,TMEM75,sense,8,32,1,25,10321,425259,102.00
LINC00536,sense,8,TMEM75,sense,8,32,1,13,10323,425116,101.00
LINC00536,sense,8,TMEM75,antisense,8,32,1,245,10324,424094,90.00
LINC00536,sense,8,TMEM75,antisense,8,32,1,157,10322,423836,85.00
LINC00536,sense,8,TMEM75,antisense,8,32,1,25,10321,423794,72.00
LINC00536,sense,8,TMEM75,antisense,8,32,1,13,10323,423651,71.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,150|245,12938|10324,214628,65.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,150|157,12938|10322,214370,65.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,136|245,12936|10324,215186,63.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,136|157,12936|10322,214928,63.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,127|245,12939|10324,214652,62.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,127|157,12939|10322,214394,62.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,150|157,12938|10322,215835,55.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,150|245,12938|10324,216093,55.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,41|245,12937|10324,214994,54.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,41|157,12937|10322,214736,54.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,136|245,12936|10324,216651,53.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,136|157,12936|10322,216393,53.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,127|25,12939|10321,214352,52.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,150|25,12938|10321,214328,52.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,127|245,12939|10324,216117,52.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,127|157,12939|10322,215859,52.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,136|25,12936|10321,214886,52.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,41|25,12937|10321,214694,52.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,150|13,12938|10323,214185,51.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,127|13,12939|10323,214209,51.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,41|13,12937|10323,214551,51.00
LINC00536,antisense,8,TMEM75,antisense,8,32,2,136|13,12936|10323,214743,51.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,41|245,12937|10324,216459,44.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,41|157,12937|10322,216201,44.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,41|25,12937|10321,216159,42.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,136|25,12936|10321,216351,42.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,150|25,12938|10321,215793,42.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,127|25,12939|10321,215817,42.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,150|13,12938|10323,215650,41.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,136|13,12936|10323,216208,41.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,127|13,12939|10323,215674,41.00
LINC00536,antisense,8,TMEM75,sense,8,32,2,41|13,12937|10323,216016,41.00
LINC00536,antisense,8,TMEM75,antisense,8,32,4,301|31|150|157,12693|12694|12938|10322,773563,23.00
LINC00536,antisense,8,TMEM75,sense,8,32,4,301|31|127|157,12693|12694|12939|10322,775052,23.00
LINC00536,antisense,8,TMEM75,sense,8,32,4,301|31|150|157,12693|12694|12938|10322,775028,23.00
LINC00536,antisense,8,TMEM75,antisense,8,32,4,301|31|127|157,12693|12694|12939|10322,773587,23.00
LINC00536,antisense,8,TMEM75,sense,8,32,4,31|301|150|157,12694|12693|12938|10322,775028,23.00
LINC00536,antisense,8,TMEM75,antisense,8,32,4,31|301|150|157,12694|12693|12938|10322,773563,23.00
LINC00536,antisense,8,TMEM75,antisense,8,32,4,31|301|127|157,12694|12693|12939|10322,773587,23.00
LINC00536,antisense,8,TMEM75,sense,8,32,4,31|301|127|157,12694|12693|12939|10322,775052,23.00
AMZ2,sense,17,RP11-382A18.2,sense,8,2,1,14,27147,57891,151.00
DHX35,sense,20,ITCH-AS1,sense,20,2,1,53,25134,82211,155.00
DHX35,sense,20,ITCH-AS1,antisense,20,2,1,53,25134,82644,75.00
AC023590.1,antisense,8,MTBP,antisense,8,9,1,15,12308,565558,101.00
AC023590.1,antisense,8,MTBP,sense,8,9,4,15|42|89|165,12308|10007|27151|27152,1326443,21.00
AC023590.1,antisense,8,MTBP,sense,8,9,4,15|42|123|165,12308|10007|27150|27152,1325901,21.00
AC023590.1,antisense,8,MTBP,sense,8,9,4,15|10|89|165,12308|10006|27151|27152,1327746,21.00
AC023590.1,antisense,8,MTBP,sense,8,9,4,15|10|123|165,12308|10006|27150|27152,1327204,21.00
AC023590.1,antisense,8,MTBP,sense,8,9,4,15|117|89|165,12308|10009|27151|27152,1325151,21.00
AC023590.1,antisense,8,MTBP,sense,8,9,4,15|117|123|165,12308|10009|27150|27152,1324609,21.00
AC023590.1,sense,8,MTBP,sense,8,9,3,10|19|14,14286|14274|10623,1197199,21.00
AC023590.1,sense,8,MTBP,sense,8,9,3,37|19|14,14285|14274|10623,1196658,21.00
AC023590.1,sense,8,MTBP,sense,8,9,4,15|117|89|165,12308|10009|27151|27152,1443617,21.00
AC023590.1,sense,8,MTBP,sense,8,9,4,15|117|123|165,12308|10009|27150|27152,1443075,21.00
AC023590.1,sense,8,MTBP,antisense,8,9,3,49|41|12,14251|14792|14254,624010,21.00
AC023590.1,sense,8,MTBP,antisense,8,9,3,49|20|12,14251|14791|14254,624094,21.00
PREX1,sense,20,SPAG4,sense,20,2,2,16|13,25085|25144,91522,121.00
PREX1,sense,20,SPAG4,sense,20,2,1,16,25085,335266,101.00
PREX1,sense,20,SPAG4,antisense,20,2,1,16,25085,340423,71.00
PREX1,sense,20,SPAG4,antisense,20,2,2,16|13,25085|25144,96679,41.00
PREX1,sense,20,SPAG4,antisense,20,2,3,24|10|10,24977|25086|25150,2006386,21.00
PREX1,antisense,20,SPAG4,antisense,20,2,3,24|10|10,24977|25086|25150,2210016,21.00
PREX1,antisense,20,SPAG4,antisense,20,2,3,16|29|13,24920|25047|25144,2360017,21.00
PREX1,antisense,20,SPAG4,antisense,20,2,2,16|29,24920|25047,2603761,21.00
PREX1,antisense,20,SPAG4,sense,20,2,2,24|10,24977|25086,1901957,21.00
PREX1,antisense,20,SPAG4,sense,20,2,3,24|10|10,24977|25086|25150,2215173,21.00
PREX1,antisense,20,SPAG4,sense,20,2,3,16|29|13,24920|25047|25144,2354860,21.00
PREX1,antisense,20,SPAG4,sense,20,2,2,16|29,24920|25047,2598604,21.00
PREX1,sense,20,SPAG4,antisense,20,2,2,24|10,24977|25086,1693170,21.00
PREX1,sense,20,SPAG4,antisense,20,2,3,16|29|13,24920|25047|25144,2156387,21.00
PREX1,sense,20,SPAG4,antisense,20,2,1,10,25086,1952575,21.00
PREX1,sense,20,SPAG4,antisense,20,2,2,16|29,24920|25047,2400131,21.00
PREX1,sense,20,SPAG4,antisense,20,2,3,16|11|29,24920|24834|25047,2995580,21.00
PREX1,sense,20,SPAG4,sense,20,2,2,24|10,24977|25086,1698327,21.00
PREX1,sense,20,SPAG4,sense,20,2,3,24|10|10,24977|25086|25150,2011543,21.00
PREX1,sense,20,SPAG4,sense,20,2,1,10,25086,1957732,21.00
PREX1,sense,20,SPAG4,sense,20,2,3,16|29|13,24920|25047|25144,2151230,21.00
PREX1,sense,20,SPAG4,sense,20,2,2,16|29,24920|25047,2394974,21.00
PREX1,sense,20,SPAG4,sense,20,2,3,16|11|29,24920|24834|25047,2990423,21.00
